average_star,ceo_star,company_class,company_employee,company_industry,company_name,company_sales,company_year,culture_star,life_star,opportunity_star,salary_star,salary_고졸,salary_과장,salary_대리,salary_대졸2,salary_대졸4,salary_주임,salary_차장
3.3,3.2,,,응용 소프트웨어 개발 및 공급업,(주)카카오브이엑스,,,3.4,3.6,2.8,2.9,2416,5368,4449,2755,3104,3715,6376
4.2,4.4,,,응용 소프트웨어 개발 및 공급업,(주)당근마켓,,,4.2,3.7,4.2,4.4,3387,7524,6236,3861,4351,5208,8937
3.2,2.6,대기업,450,응용 소프트웨어 개발 및 공급업,(주)카카오엔터테인먼트,34296589,12,3.2,3.2,2.8,2.9,2954,6563,5439,3368,3795,4542,7795
2.6,2.4,,,응용 소프트웨어 개발 및 공급업,(주)디케이테크인,,,3.2,3.4,2.3,2.2,2148,4773,3955,2449,2760,3304,5669
3.2,2.7,,,응용 소프트웨어 개발 및 공급업,(주)다나와,,,3.0,4.0,2.7,2.7,2144,4762,3947,2444,2754,3296,5657
3.3,2.8,,,응용 소프트웨어 개발 및 공급업,(주)마이다스아이티,,,3.1,2.3,3.5,3.8,3581,7955,6592,4082,4600,5506,9449
2.4,1.8,,,컴퓨터 프로그래밍 서비스업,(주)더존비즈온,,,2.3,2.3,2.7,2.2,2526,5611,4649,2879,3245,3883,6664
3.5,2.6,,,응용 소프트웨어 개발 및 공급업,현대오토에버(주),,,3.3,3.7,3.0,3.7,3580,7953,6590,4081,4599,5504,9445
3.2,3.1,스타트업,311,응용 소프트웨어 개발 및 공급업,(주)카카오스타일,4002154,10,3.3,3.5,2.9,3.4,2837,6303,5223,3234,3645,4362,7486
3.6,3.3,스타트업,926,응용 소프트웨어 개발 및 공급업,(주)우아한형제들,19516004,11,3.8,3.3,3.2,3.7,3208,7127,5906,3658,4122,4933,8465
average_star,ceo_star,company_class,company_employee,company_industry,company_name,company_sales,company_year,culture_star,life_star,opportunity_star,salary_star,salary_고졸,salary_과장,salary_대리,salary_대졸2,salary_대졸4,salary_주임,salary_차장
3.2,2.6,대기업,450,응용 소프트웨어 개발 및 공급업,(주)카카오엔터테인먼트,34296589,12,3.2,3.2,2.8,2.9,2954,6563,5439,3368,3795,4542,7795
average_star,ceo_star,company_class,company_employee,company_industry,company_name,company_sales,company_year,culture_star,life_star,opportunity_star,salary_star,salary_고졸,salary_과장,salary_대리,salary_대졸2,salary_대졸4,salary_주임,salary_차장
3.2,2.6,대기업,450,응용 소프트웨어 개발 및 공급업,(주)카카오엔터테인먼트,34296589,12,3.2,3.2,2.8,2.9,2954,6563,5439,3368,3795,4542,7795
average_star,ceo_star,company_class,company_employee,company_industry,company_name,company_sales,company_year,culture_star,life_star,opportunity_star,page,salary_star,salary_고졸,salary_과장,salary_대리,salary_대졸2,salary_대졸4,salary_주임,salary_차장
3.2,2.6,대기업,450,응용 소프트웨어 개발 및 공급업,(주)카카오엔터테인먼트,34296589,12,3.2,3.2,2.8,1,2.9,2954,6563,5439,3368,3795,4542,7795
average_star,ceo_star,company_class,company_employee,company_industry,company_name,company_sales,company_year,crawl_time,culture_star,life_star,opportunity_star,page,salary_star,salary_고졸,salary_과장,salary_대리,salary_대졸2,salary_대졸4,salary_주임,salary_차장
3.2,2.6,대기업,450,응용 소프트웨어 개발 및 공급업,(주)카카오엔터테인먼트,34296589,12,2021-09-10 23:21:52,3.2,3.2,2.8,1,2.9,2954,6563,5439,3368,3795,4542,7795
average_star,ceo_star,company_class,company_employee,company_industry,company_name,company_sales,company_year,crawl_time,culture_star,life_star,opportunity_star,page,salary_star,salary_고졸,salary_과장,salary_대리,salary_대졸2,salary_대졸4,salary_주임,salary_차장
3.2,2.6,대기업,450,응용 소프트웨어 개발 및 공급업,(주)카카오엔터테인먼트,34296589,12,2021-09-10 23:41:27,3.2,3.2,2.8,1,2.9,2954,6563,5439,3368,3795,4542,7795
average_star,ceo_star,company_class,company_employee,company_industry,company_name,company_sales,company_year,crawl_time,culture_star,life_star,opportunity_star,page,salary_star,salary_고졸,salary_과장,salary_대리,salary_대졸2,salary_대졸4,salary_주임,salary_차장
3.2,2.7,,,응용 소프트웨어 개발 및 공급업,(주)다나와,,,2021-09-11 10:45:49,3.0,4.0,2.7,1,2.7,2144,4762,3947,2444,2754,3296,5657
2.4,1.8,,,컴퓨터 프로그래밍 서비스업,(주)더존비즈온,,,2021-09-11 10:45:49,2.3,2.3,2.7,1,2.2,2526,5611,4649,2879,3245,3883,6664
3.3,2.8,,,응용 소프트웨어 개발 및 공급업,(주)마이다스아이티,,,2021-09-11 10:45:49,3.1,2.3,3.5,1,3.8,3581,7955,6592,4082,4600,5506,9449
3.5,2.6,,,응용 소프트웨어 개발 및 공급업,현대오토에버(주),,,2021-09-11 10:45:50,3.3,3.7,3.0,1,3.7,3580,7953,6590,4081,4599,5504,9445
3.3,3.2,,,응용 소프트웨어 개발 및 공급업,(주)카카오브이엑스,,,2021-09-11 10:45:50,3.4,3.6,2.8,1,2.9,2416,5368,4449,2755,3104,3715,6376
2.6,2.4,,,응용 소프트웨어 개발 및 공급업,(주)디케이테크인,,,2021-09-11 10:45:50,3.2,3.4,2.3,1,2.2,2148,4773,3955,2449,2760,3304,5669
3.2,3.1,스타트업,311,응용 소프트웨어 개발 및 공급업,(주)카카오스타일,4002154,10,2021-09-11 10:45:50,3.3,3.5,2.9,1,3.4,2837,6303,5223,3234,3645,4362,7486
4.2,4.4,,,응용 소프트웨어 개발 및 공급업,(주)당근마켓,,,2021-09-11 10:45:50,4.2,3.7,4.2,1,4.4,3387,7524,6236,3861,4351,5208,8937
3.6,3.3,스타트업,926,응용 소프트웨어 개발 및 공급업,(주)우아한형제들,19516004,11,2021-09-11 10:45:51,3.8,3.3,3.2,1,3.7,3208,7127,5906,3658,4122,4933,8465
